"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_cumulative","C_any1","C_atleast2","C_ternary","score","logodds","score_z","C_simple"
"196","<U+025F>h<U+0268>r","bright (dirt) coloured, sand-red, a little darker on an otherwise brighter surface. example: of white peoples' skin when sun-burned","Semai","ColorVisual","kleur van huid met zonnebrand",NA,"Language","Semai_4_ColorVisual_org",0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2533471031358,0.14026088392174,0
"197","<U+025F>ree<U+014B>","transparent, see-through","Semai","ColorVisual","transparant",NA,"Language","Semai_5_ColorVisual_org",0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.674489750196082,0.994577176899611,0
"198","sl<U+0294>e~e~k","lighter brown, pale-coloured","Semai","ColorVisual","licht bruin",NA,"Language","Semai_6_ColorVisual_org",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,"F_monosyllabic: 1 syllabe?",NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,1,0.7,0.524400512708041,0.70980507924032,1
"199","brac<U+0268><U+0268>j","vertical (upward), one item splitting into multiple. Example: fireworks. Plurality of motion (plural infix).","Semai","Motion","uit elkaar spattende opwaartse beweging (b.v. vuurwerk)",NA,"Language","Semai_7_Motion_org",0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,NA,NA,"F_closedsyll:  hier (0) gedaan, want ik hoor de j niet in de audio.",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2533471031358,0.14026088392174,0
"200","cidu~<U+0294>cide~<U+0294>","from side to side while walking, short and firm movements. Example: the way a person with short legs walk. Distribution in space (distributive derivation). In this rendition the nasality of the vowels is not particularly strong.","Semai","Motion","waggelende beweging",NA,"Language","Semai_8_Motion_org",1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,"F_closedsyallable: glottal stop counts as closed?",NA,NA,NA,0,1,1,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.35,-0.385320466407568,-1.28359960437471,1
"201","duldil","falling over/down, collapsing. Example: people falling over, leeches losing their grip. Distribution in space (distributive derivation).","Semai","Motion","in elkaar zakkend",NA,"Language","Semai_9_Motion_org",1,0,1,1,1,2,0,1,0,1,1,1,1,0,1,NA,NA,NA,NA,0,1,1,1,0,0,0,0,0,1,1,0,0,3,1,1,3,0.55,0.125661346855074,-0.14451121373755,1
"202","gbiim","boom","Siwu","Sound","explosie (boem)",NA,"Language","Siwu_1_Sound_org",0,1,0,1,0,2,1,2,1,0,0,2,1,0,1,NA,NA,NA,"bij explosies nu wel (1) voor M_abrupt gedaan, net als bij bijv. ‘harde klap’, want het idee van de echoënde eigenschap gold ook niet bij ‘distributief’ dus waarom hier wel?",1,0,0,1,1,0,1,0,0,1,1,1,1,4,1,1,3,0.8,0.841621233572914,1.2793492745589,3
"203","fi<U+025B>fi<U+025B>","silky","Siwu","Texture","zijdezacht",NA,"Language","Siwu_11_Texture_org",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,"M_weight: twijfel, zowel licht (0) als zacht (2), maar het is voor mij toch vooral heel licht",0,0,0,0,0,0,1,1,1,0,0,3,1,1,1,0,1,0.5,0,-0.429283311396841,1
"204","gbadara-gbadara","a drunkard’s wobbling gait","Siwu","Motion","waggelen, lopen als een dronkaard",NA,"Language","Siwu_12_Motion_org",1,0,0,0,1,2,0,1,0,1,1,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.9,1.2815515655446,1.84889346987748,1
"205","kp<U+0254>k<U+0254>l<U+0254>-kp<U+0254>k<U+0254>l<U+0254>","walking like a tortoise","Siwu","Motion","lopen als een schildpad",NA,"Language","Siwu_13_Motion_org",1,0,0,0,2,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.55,0.125661346855074,-0.14451121373755,1
"206","ny<U+025B>m<U+025B>r<U+025B>-ny<U+025B>m<U+025B>r<U+025B>","wriggling (of a small snake)","Siwu","Motion","kronkelen",NA,"Language","Siwu_14_Motion_org",1,0,0,0,0,2,0,1,0,1,1,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.45,-0.125661346855074,-0.714055409056131,1
