"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","C_cumulative","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_any1","C_atleast2","C_ternary","score","logodds","score_z","rating","rating_z"
"48","gitogito","being oily","Japanese","Texture","glibberig",NA,"Language","Japanese_15_Texture",0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.125661346855074,-0.14451121373755,2.1578947368421,-0.949213564333748
"49","tsuru tsuru","slippery, smooth surface","Japanese","Texture","glad (zoals ijs is)",NA,"Language","Japanese_16_Texture",0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,2.00526315789474,-1.1359506383998
"50","deko boko","bumpy","Japanese","Texture","hobbelig",NA,"Language","Japanese_17_Texture",2,1,0,1,0,2,1,0,1,0,1,1,1,0,0,0,"F_partialredup: count as full with vowel mod or as partial?",NA,NA,NA,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0.75,0.674489750196082,0.994577176899611,3.87222222222222,1.14818004725494
"51","kachi kachi","sehr hart","Japanese","Texture","heel hard oppervlak",NA,"Language","Japanese_18_Texture",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2533471031358,0.14026088392174,3.50555555555556,0.699581788866368
"52","sarasara","smooth, (hair)","Japanese","Texture","glad, soepel",NA,"Language","Japanese_19_Texture",0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.125661346855074,-0.14451121373755,2.505,-0.52454770106973
"53","wan wan","dog barking","Japanese","Sound","geluid van een blaffende hond",NA,"Language","Japanese_1_Sound",3,1,0,0,1,1,2,0,1,1,1,0,1,0,0,1,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,3,0.8,0.841621233572914,1.2793492745589,3.13333333333333,0.244186587168874
"54","nurunuru","slimy","Japanese","Texture","slijmerig",NA,"Language","Japanese_20_Texture",0,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,2.5,-0.530664950047756
"55","zarazara","rough","Japanese","Texture","ruw",NA,"Language","Japanese_21_Texture",0,1,0,0,0,1,2,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.524400512708041,0.70980507924032,2.74,-0.237036999102506
"56","kyutto","schnell und fest schnüren","Japanese","Motion","secuur vastknopen",NA,"Language","Japanese_22_Motion",0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.524400512708041,0.70980507924032,3.05,0.142232437535107
"57","sa satto","acting fast","Japanese","Motion","snel handelen",NA,"Language","Japanese_23_Motion",0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.674489750196082,0.994577176899611,3.37777777777778,0.543252092761259
